Data;Valor
02/01/2019;2367,76
03/01/2019;2379,19
04/01/2019;2385,1
07/01/2019;2389,3
08/01/2019;2390,14
09/01/2019;2392,57
10/01/2019;2387,98
11/01/2019;2388,43
14/01/2019;2388,03
15/01/2019;2386,35
16/01/2019;2390,77
17/01/2019;2390,51
18/01/2019;2398,21
21/01/2019;2396,42
22/01/2019;2395,49
23/01/2019;2390,37
24/01/2019;2387,99
28/01/2019;2380,57
29/01/2019;2392,97
30/01/2019;2398,05
31/01/2019;2409,69
01/02/2019;2407,87
04/02/2019;2405,57
05/02/2019;2404,14
06/02/2019;2398,71
07/02/2019;2400,83
08/02/2019;2402,61
11/02/2019;2405,91
12/02/2019;2403,81
13/02/2019;2403,97
14/02/2019;2404,01
15/02/2019;2406,91
18/02/2019;2413,49
19/02/2019;2413,19
20/02/2019;2418,27
21/02/2019;2409,82
22/02/2019;2413,9
25/02/2019;2403,94
26/02/2019;2409,46
27/02/2019;2420,88
28/02/2019;2434,56
01/03/2019;2444,36
06/03/2019;2451,69
07/03/2019;2457,1
08/03/2019;2460,08
11/03/2019;2463,5
12/03/2019;2464,68
13/03/2019;2464,92
14/03/2019;2471,01
15/03/2019;2482,77
18/03/2019;2485,35
19/03/2019;2480,17
20/03/2019;2483,05
21/03/2019;2481,89
22/03/2019;2471,35
25/03/2019;2473,97
26/03/2019;2480,79
27/03/2019;2474,0
28/03/2019;2476,55
29/03/2019;2482,93
01/04/2019;2481,83
02/04/2019;2482,52
03/04/2019;2486,19
04/04/2019;2485,93
05/04/2019;2484,62
08/04/2019;2480,4
09/04/2019;2481,74
10/04/2019;2481,79
11/04/2019;2486,53
12/04/2019;2483,05
15/04/2019;2487,86
16/04/2019;2483,87
17/04/2019;2486,97
18/04/2019;2492,38
22/04/2019;2491,7
23/04/2019;2493,87
24/04/2019;2492,85
25/04/2019;2491,3
26/04/2019;2498,02
29/04/2019;2498,43
30/04/2019;2508,45
02/05/2019;2503,68
03/05/2019;2505,47
06/05/2019;2496,26
07/05/2019;2496,06
08/05/2019;2496,46
09/05/2019;2493,3
10/05/2019;2491,99
13/05/2019;2484,23
14/05/2019;2488,87
15/05/2019;2491,04
16/05/2019;2496,88
17/05/2019;2497,36
20/05/2019;2497,66
21/05/2019;2503,36
